,loan_status,Principal,terms,effective_date,due_date,age,education,Gender
0,PAIDOFF,1000,30,9/8/2016,10/7/2016,45,High School or Below,male
2,PAIDOFF,1000,30,9/8/2016,10/7/2016,33,Bachelor,female
3,PAIDOFF,1000,15,9/8/2016,9/22/2016,27,college,male
4,PAIDOFF,1000,30,9/9/2016,10/8/2016,28,college,female
6,PAIDOFF,1000,30,9/9/2016,10/8/2016,29,college,male
7,PAIDOFF,1000,30,9/9/2016,10/8/2016,36,college,male
8,PAIDOFF,1000,30,9/9/2016,10/8/2016,28,college,male
9,PAIDOFF,800,15,9/10/2016,9/24/2016,26,college,male
10,PAIDOFF,300,7,9/10/2016,9/16/2016,29,college,male
11,PAIDOFF,1000,15,9/10/2016,10/9/2016,39,High School or Below,male
12,PAIDOFF,1000,30,9/10/2016,10/9/2016,26,college,male
13,PAIDOFF,900,7,9/10/2016,9/16/2016,26,college,female
14,PAIDOFF,1000,7,9/10/2016,9/16/2016,27,High School or Below,male
15,PAIDOFF,800,15,9/10/2016,9/24/2016,26,college,male
16,PAIDOFF,1000,30,9/10/2016,10/9/2016,40,High School or Below,male
17,PAIDOFF,1000,15,9/10/2016,9/24/2016,32,High School or Below,male
18,PAIDOFF,1000,30,9/10/2016,10/9/2016,32,High School or Below,male
19,PAIDOFF,800,30,9/10/2016,10/9/2016,26,college,male
20,PAIDOFF,1000,30,9/10/2016,10/9/2016,26,college,male
22,PAIDOFF,1000,30,9/10/2016,10/9/2016,25,High School or Below,male
23,PAIDOFF,1000,15,9/10/2016,9/24/2016,26,college,male
25,PAIDOFF,1000,30,9/10/2016,10/9/2016,29,High School or Below,male
26,PAIDOFF,800,15,9/10/2016,9/24/2016,39,Bachelor,male
27,PAIDOFF,1000,15,9/10/2016,9/24/2016,34,Bachelor,male
28,PAIDOFF,1000,30,9/11/2016,10/10/2016,31,college,male
29,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,college,male
30,PAIDOFF,800,15,9/11/2016,9/25/2016,33,High School or Below,male
31,PAIDOFF,1000,30,9/11/2016,10/10/2016,37,college,male
32,PAIDOFF,1000,30,9/11/2016,10/10/2016,27,college,male
33,PAIDOFF,1000,30,9/11/2016,10/10/2016,37,college,male
34,PAIDOFF,800,15,9/11/2016,9/25/2016,33,college,male
36,PAIDOFF,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
39,PAIDOFF,1000,30,9/11/2016,10/10/2016,21,Bachelor,male
40,PAIDOFF,1000,15,9/11/2016,9/25/2016,32,college,female
41,PAIDOFF,800,15,9/11/2016,9/25/2016,30,college,male
42,PAIDOFF,1000,7,9/11/2016,9/24/2016,31,Bachelor,male
43,PAIDOFF,1000,15,9/11/2016,9/25/2016,30,college,male
44,PAIDOFF,1000,15,9/11/2016,9/25/2016,24,Bachelor,female
45,PAIDOFF,800,7,9/11/2016,9/17/2016,35,High School or Below,male
46,PAIDOFF,1000,30,9/11/2016,10/10/2016,22,High School or Below,male
47,PAIDOFF,1000,30,9/11/2016,10/10/2016,32,college,male
49,PAIDOFF,800,15,9/11/2016,9/25/2016,50,High School or Below,male
51,PAIDOFF,1000,30,9/11/2016,10/10/2016,35,Bachelor,female
52,PAIDOFF,800,15,9/11/2016,9/25/2016,35,Bachelor,female
53,PAIDOFF,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
54,PAIDOFF,1000,30,9/11/2016,10/10/2016,21,High School or Below,male
55,PAIDOFF,1000,15,9/11/2016,9/25/2016,25,college,male
56,PAIDOFF,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
57,PAIDOFF,1000,30,9/11/2016,10/10/2016,26,Bachelor,male
58,PAIDOFF,800,15,9/11/2016,9/25/2016,44,High School or Below,female
59,PAIDOFF,800,15,9/11/2016,9/25/2016,39,Master or Above,male
60,PAIDOFF,1000,30,9/11/2016,10/10/2016,34,Bachelor,male
62,PAIDOFF,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
63,PAIDOFF,1000,30,9/11/2016,10/10/2016,45,college,male
65,PAIDOFF,900,15,9/11/2016,9/25/2016,28,college,male
66,PAIDOFF,1000,30,9/11/2016,10/10/2016,28,Bachelor,male
67,PAIDOFF,1000,30,9/11/2016,10/10/2016,37,High School or Below,male
69,PAIDOFF,1000,30,9/11/2016,10/10/2016,43,Bachelor,male
70,PAIDOFF,800,15,9/11/2016,9/25/2016,29,college,male
71,PAIDOFF,800,15,9/11/2016,9/25/2016,29,High School or Below,male
72,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,Bachelor,female
73,PAIDOFF,1000,15,9/11/2016,9/25/2016,34,college,male
74,PAIDOFF,1000,15,9/11/2016,9/25/2016,25,college,male
75,PAIDOFF,1000,30,9/11/2016,10/10/2016,30,High School or Below,male
77,PAIDOFF,1000,30,9/11/2016,10/10/2016,35,college,male
79,PAIDOFF,1000,30,9/11/2016,10/10/2016,44,High School or Below,female
80,PAIDOFF,1000,30,9/11/2016,10/10/2016,28,High School or Below,male
81,PAIDOFF,1000,7,9/11/2016,9/17/2016,25,college,male
82,PAIDOFF,1000,15,9/11/2016,9/25/2016,29,college,male
83,PAIDOFF,800,15,9/11/2016,9/25/2016,33,college,male
86,PAIDOFF,1000,30,9/11/2016,10/10/2016,24,High School or Below,female
87,PAIDOFF,1000,30,9/11/2016,10/10/2016,27,college,female
89,PAIDOFF,800,15,9/11/2016,9/25/2016,46,High School or Below,female
90,PAIDOFF,800,15,9/11/2016,9/25/2016,34,college,female
92,PAIDOFF,800,15,9/11/2016,9/25/2016,38,High School or Below,male
93,PAIDOFF,800,15,9/11/2016,9/25/2016,27,High School or Below,male
94,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,High School or Below,male
95,PAIDOFF,1000,30,9/11/2016,10/10/2016,36,college,male
97,PAIDOFF,1000,30,9/11/2016,10/10/2016,34,college,male
98,PAIDOFF,1000,30,9/11/2016,10/10/2016,22,High School or Below,male
99,PAIDOFF,1000,30,9/11/2016,10/10/2016,31,Bachelor,female
101,PAIDOFF,800,15,9/11/2016,9/25/2016,38,college,male
102,PAIDOFF,1000,30,9/11/2016,10/10/2016,30,college,male
103,PAIDOFF,1000,15,9/11/2016,9/25/2016,45,High School or Below,male
104,PAIDOFF,1000,15,9/11/2016,9/25/2016,35,college,male
106,PAIDOFF,1000,30,9/11/2016,10/10/2016,31,High School or Below,male
107,PAIDOFF,1000,30,9/11/2016,10/10/2016,31,High School or Below,male
108,PAIDOFF,1000,30,9/11/2016,10/10/2016,28,college,male
109,PAIDOFF,1000,7,9/11/2016,9/24/2016,29,college,male
110,PAIDOFF,800,15,9/11/2016,9/25/2016,29,college,male
111,PAIDOFF,1000,30,9/11/2016,11/9/2016,27,college,female
112,PAIDOFF,1000,30,9/11/2016,10/10/2016,27,college,male
113,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,college,male
114,PAIDOFF,1000,30,9/11/2016,10/10/2016,28,college,male
115,PAIDOFF,1000,15,9/11/2016,9/25/2016,25,High School or Below,male
116,PAIDOFF,1000,30,9/11/2016,10/10/2016,40,college,male
117,PAIDOFF,1000,30,9/11/2016,10/10/2016,23,High School or Below,male
118,PAIDOFF,1000,30,9/11/2016,10/10/2016,35,Bachelor,male
119,PAIDOFF,800,15,9/11/2016,9/25/2016,24,college,male
120,PAIDOFF,1000,30,9/11/2016,10/10/2016,34,college,male
121,PAIDOFF,1000,30,9/11/2016,10/10/2016,22,High School or Below,male
122,PAIDOFF,1000,15,9/11/2016,10/25/2016,20,college,male
123,PAIDOFF,1000,15,9/11/2016,9/25/2016,23,college,male
124,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,college,male
125,PAIDOFF,1000,30,9/11/2016,10/10/2016,26,college,male
126,PAIDOFF,1000,15,9/11/2016,9/25/2016,28,High School or Below,male
127,PAIDOFF,800,15,9/11/2016,9/25/2016,43,High School or Below,male
128,PAIDOFF,1000,15,9/11/2016,9/25/2016,34,Bachelor,male
129,PAIDOFF,1000,30,9/11/2016,10/10/2016,38,Bachelor,male
130,PAIDOFF,1000,15,9/11/2016,9/25/2016,26,High School or Below,male
131,PAIDOFF,800,15,9/11/2016,9/25/2016,43,High School or Below,male
132,PAIDOFF,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
133,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,college,female
134,PAIDOFF,800,15,9/11/2016,9/25/2016,24,college,male
135,PAIDOFF,1000,30,9/11/2016,10/10/2016,30,High School or Below,male
136,PAIDOFF,800,15,9/11/2016,9/25/2016,32,High School or Below,female
137,PAIDOFF,1000,15,9/11/2016,10/25/2016,22,college,male
138,PAIDOFF,1000,15,9/11/2016,9/25/2016,47,High School or Below,male
139,PAIDOFF,1000,30,9/11/2016,10/10/2016,20,High School or Below,male
140,PAIDOFF,1000,30,9/11/2016,10/10/2016,28,High School or Below,male
141,PAIDOFF,800,15,9/11/2016,9/25/2016,35,college,male
143,PAIDOFF,800,15,9/11/2016,9/25/2016,33,college,female
144,PAIDOFF,1000,30,9/11/2016,10/10/2016,30,High School or Below,male
145,PAIDOFF,1000,15,9/11/2016,9/25/2016,31,college,male
146,PAIDOFF,1000,30,9/11/2016,11/9/2016,26,college,female
148,PAIDOFF,1000,15,9/12/2016,9/26/2016,26,Bachelor,male
149,PAIDOFF,800,15,9/12/2016,9/26/2016,35,Bachelor,male
151,PAIDOFF,800,15,9/12/2016,9/26/2016,23,college,male
152,PAIDOFF,500,15,9/12/2016,9/26/2016,23,college,female
153,PAIDOFF,1000,15,9/12/2016,9/26/2016,30,college,male
154,PAIDOFF,1000,30,9/12/2016,10/11/2016,34,college,male
155,PAIDOFF,1000,30,9/12/2016,10/11/2016,36,High School or Below,female
157,PAIDOFF,800,15,9/12/2016,9/26/2016,29,High School or Below,male
158,PAIDOFF,1000,15,9/12/2016,9/26/2016,28,college,female
159,PAIDOFF,1000,30,9/12/2016,10/11/2016,27,High School or Below,male
160,PAIDOFF,1000,15,9/12/2016,9/26/2016,24,High School or Below,male
161,PAIDOFF,800,15,9/12/2016,9/26/2016,31,Bachelor,male
162,PAIDOFF,1000,30,9/12/2016,10/11/2016,28,High School or Below,male
163,PAIDOFF,1000,15,9/12/2016,9/26/2016,27,college,female
164,PAIDOFF,1000,15,9/12/2016,9/26/2016,25,High School or Below,male
165,PAIDOFF,1000,30,9/12/2016,11/10/2016,24,High School or Below,male
166,PAIDOFF,1000,30,9/12/2016,10/11/2016,28,college,male
168,PAIDOFF,1000,15,9/12/2016,9/26/2016,35,High School or Below,male
170,PAIDOFF,1000,15,9/12/2016,9/26/2016,38,High School or Below,male
171,PAIDOFF,1000,30,9/12/2016,10/11/2016,29,college,male
172,PAIDOFF,800,15,9/12/2016,9/26/2016,35,High School or Below,male
173,PAIDOFF,1000,30,9/12/2016,10/11/2016,24,college,male
174,PAIDOFF,800,15,9/12/2016,9/26/2016,39,High School or Below,male
175,PAIDOFF,800,15,9/12/2016,9/26/2016,25,college,male
176,PAIDOFF,1000,30,9/12/2016,10/11/2016,38,High School or Below,male
177,PAIDOFF,1000,30,9/12/2016,10/11/2016,30,college,male
178,PAIDOFF,1000,30,9/12/2016,10/11/2016,21,High School or Below,male
180,PAIDOFF,1000,15,9/12/2016,9/26/2016,31,High School or Below,female
181,PAIDOFF,300,7,9/12/2016,9/18/2016,29,High School or Below,male
182,PAIDOFF,1000,30,9/12/2016,10/11/2016,35,High School or Below,male
183,PAIDOFF,800,15,9/12/2016,9/26/2016,30,High School or Below,male
184,PAIDOFF,1000,30,9/12/2016,10/11/2016,27,High School or Below,male
185,PAIDOFF,1000,30,9/12/2016,10/11/2016,31,High School or Below,female
187,PAIDOFF,1000,15,9/12/2016,9/26/2016,34,High School or Below,male
188,PAIDOFF,800,15,9/12/2016,9/26/2016,28,college,male
189,PAIDOFF,800,15,9/12/2016,9/26/2016,42,college,male
190,PAIDOFF,1000,30,9/12/2016,10/11/2016,32,college,male
191,PAIDOFF,1000,30,9/12/2016,10/11/2016,30,High School or Below,male
192,PAIDOFF,1000,15,9/12/2016,9/26/2016,25,High School or Below,female
193,PAIDOFF,1000,30,9/12/2016,10/11/2016,27,High School or Below,female
194,PAIDOFF,800,15,9/12/2016,9/26/2016,21,college,male
195,PAIDOFF,1000,30,9/12/2016,10/11/2016,24,college,male
197,PAIDOFF,1000,15,9/12/2016,9/26/2016,40,college,male
198,PAIDOFF,1000,30,9/12/2016,10/11/2016,29,High School or Below,male
200,PAIDOFF,1000,15,9/12/2016,9/26/2016,30,college,male
201,PAIDOFF,1000,30,9/12/2016,10/11/2016,26,High School or Below,female
203,PAIDOFF,800,15,9/12/2016,9/26/2016,27,college,male
204,PAIDOFF,1000,30,9/12/2016,10/11/2016,20,college,male
205,PAIDOFF,1000,7,9/12/2016,9/18/2016,26,Bachelor,female
206,PAIDOFF,1000,30,9/12/2016,11/10/2016,26,college,male
207,PAIDOFF,1000,30,9/12/2016,10/11/2016,27,college,male
208,PAIDOFF,300,7,9/12/2016,9/18/2016,23,High School or Below,male
209,PAIDOFF,1000,30,9/12/2016,10/11/2016,39,High School or Below,male
210,PAIDOFF,1000,15,9/12/2016,9/26/2016,27,High School or Below,male
211,PAIDOFF,1000,30,9/12/2016,10/11/2016,30,High School or Below,male
212,PAIDOFF,1000,30,9/12/2016,10/11/2016,33,High School or Below,female
213,PAIDOFF,1000,30,9/12/2016,10/11/2016,27,High School or Below,male
214,PAIDOFF,1000,30,9/12/2016,10/11/2016,35,High School or Below,male
215,PAIDOFF,1000,30,9/12/2016,11/10/2016,29,college,female
216,PAIDOFF,1000,15,9/12/2016,9/26/2016,50,High School or Below,male
217,PAIDOFF,800,15,9/12/2016,9/26/2016,31,High School or Below,female
218,PAIDOFF,1000,15,9/12/2016,9/26/2016,31,High School or Below,male
219,PAIDOFF,1000,30,9/12/2016,10/11/2016,29,High School or Below,male
220,PAIDOFF,1000,15,9/12/2016,9/26/2016,35,college,male
221,PAIDOFF,1000,30,9/12/2016,10/11/2016,39,college,male
223,PAIDOFF,1000,15,9/12/2016,9/26/2016,30,High School or Below,male
224,PAIDOFF,1000,30,9/12/2016,10/11/2016,33,Bachelor,male
225,PAIDOFF,1000,30,9/12/2016,10/11/2016,26,High School or Below,male
226,PAIDOFF,1000,15,9/12/2016,9/26/2016,25,High School or Below,male
227,PAIDOFF,800,15,9/12/2016,9/26/2016,37,Bachelor,male
228,PAIDOFF,800,15,9/12/2016,9/26/2016,26,High School or Below,male
229,PAIDOFF,800,15,9/12/2016,9/26/2016,26,college,male
230,PAIDOFF,1000,15,9/12/2016,10/26/2016,27,college,male
231,PAIDOFF,1000,7,9/12/2016,9/25/2016,34,college,female
232,PAIDOFF,1000,30,9/12/2016,10/11/2016,37,college,male
233,PAIDOFF,1000,30,9/12/2016,10/11/2016,36,High School or Below,male
234,PAIDOFF,800,15,9/12/2016,9/26/2016,33,High School or Below,male
235,PAIDOFF,1000,30,9/12/2016,10/11/2016,30,High School or Below,male
237,PAIDOFF,800,15,9/12/2016,9/26/2016,36,High School or Below,male
238,PAIDOFF,1000,15,9/12/2016,10/11/2016,29,college,male
240,PAIDOFF,1000,30,9/12/2016,10/11/2016,32,High School or Below,male
241,PAIDOFF,1000,15,9/12/2016,9/26/2016,29,High School or Below,female
242,PAIDOFF,800,15,9/12/2016,9/26/2016,36,Bachelor,male
243,PAIDOFF,800,15,9/12/2016,9/26/2016,30,High School or Below,female
244,PAIDOFF,1000,7,9/13/2016,9/19/2016,31,college,male
245,PAIDOFF,1000,30,9/13/2016,10/12/2016,19,High School or Below,female
246,PAIDOFF,800,15,9/13/2016,9/27/2016,26,college,male
247,PAIDOFF,800,15,9/13/2016,9/27/2016,34,High School or Below,male
248,PAIDOFF,1000,30,9/13/2016,10/12/2016,35,High School or Below,male
249,PAIDOFF,1000,15,9/13/2016,9/27/2016,35,Bachelor,female
250,PAIDOFF,800,15,9/13/2016,9/27/2016,38,college,male
253,PAIDOFF,500,7,9/13/2016,9/19/2016,22,High School or Below,male
254,PAIDOFF,1000,30,9/13/2016,10/12/2016,32,college,male
255,PAIDOFF,1000,30,9/13/2016,10/12/2016,31,college,male
256,PAIDOFF,800,15,9/13/2016,9/27/2016,28,college,male
257,PAIDOFF,1000,15,9/13/2016,9/27/2016,37,college,female
258,PAIDOFF,1000,7,9/13/2016,9/19/2016,25,college,male
259,PAIDOFF,1000,30,9/13/2016,10/12/2016,19,High School or Below,male
260,PAIDOFF,800,15,9/13/2016,9/27/2016,51,college,male
261,PAIDOFF,1000,15,9/13/2016,9/27/2016,29,High School or Below,male
262,PAIDOFF,800,30,9/13/2016,10/12/2016,23,college,female
263,PAIDOFF,1000,15,9/13/2016,9/27/2016,30,High School or Below,male
265,PAIDOFF,1000,15,9/13/2016,9/27/2016,34,Bachelor,female
266,PAIDOFF,800,15,9/13/2016,9/27/2016,31,Bachelor,female
267,PAIDOFF,1000,15,9/14/2016,9/28/2016,24,High School or Below,male
268,PAIDOFF,1000,30,9/14/2016,10/13/2016,42,High School or Below,male
269,PAIDOFF,800,30,9/14/2016,10/13/2016,40,college,female
270,PAIDOFF,1000,30,9/14/2016,10/13/2016,29,High School or Below,male
271,PAIDOFF,1000,30,9/14/2016,10/13/2016,32,college,female
272,PAIDOFF,1000,30,9/14/2016,11/12/2016,28,college,male
273,PAIDOFF,1000,30,9/14/2016,10/13/2016,35,High School or Below,male
274,PAIDOFF,1000,30,9/14/2016,10/13/2016,30,Bachelor,male
275,PAIDOFF,800,15,9/14/2016,9/28/2016,44,college,male
276,PAIDOFF,800,15,9/14/2016,9/28/2016,37,High School or Below,male
277,PAIDOFF,1000,30,9/14/2016,10/13/2016,31,college,male
278,PAIDOFF,800,15,9/14/2016,9/28/2016,36,college,male
279,PAIDOFF,800,30,9/14/2016,10/13/2016,31,college,male
280,PAIDOFF,800,15,9/14/2016,9/28/2016,42,High School or Below,male
281,PAIDOFF,1000,15,9/14/2016,9/28/2016,28,Bachelor,male
282,PAIDOFF,1000,30,9/14/2016,10/13/2016,30,college,male
283,PAIDOFF,1000,30,9/14/2016,10/13/2016,30,High School or Below,male
284,PAIDOFF,1000,15,9/14/2016,9/28/2016,24,Bachelor,male
285,PAIDOFF,1000,30,9/14/2016,11/12/2016,34,Bachelor,male
286,PAIDOFF,1000,30,9/14/2016,10/13/2016,29,college,male
288,PAIDOFF,1000,30,9/14/2016,10/13/2016,34,Bachelor,male
289,PAIDOFF,800,15,9/14/2016,9/28/2016,28,High School or Below,male
290,PAIDOFF,1000,15,9/14/2016,9/28/2016,30,college,female
291,PAIDOFF,1000,30,9/14/2016,10/13/2016,41,High School or Below,male
292,PAIDOFF,1000,30,9/14/2016,10/13/2016,29,college,male
293,PAIDOFF,1000,30,9/14/2016,10/13/2016,37,High School or Below,male
294,PAIDOFF,1000,30,9/14/2016,10/13/2016,36,Bachelor,male
296,PAIDOFF,800,15,9/14/2016,9/28/2016,27,college,male
297,PAIDOFF,1000,30,9/14/2016,10/13/2016,29,High School or Below,male
298,PAIDOFF,1000,30,9/14/2016,10/13/2016,40,High School or Below,male
299,PAIDOFF,1000,30,9/14/2016,10/13/2016,28,college,male
300,COLLECTION,1000,15,9/9/2016,9/23/2016,29,college,male
301,COLLECTION,1000,30,9/9/2016,10/8/2016,37,High School or Below,male
303,COLLECTION,800,15,9/9/2016,9/23/2016,27,college,male
304,COLLECTION,800,15,9/9/2016,9/23/2016,24,Bachelor,male
306,COLLECTION,800,15,9/10/2016,10/9/2016,28,college,male
307,COLLECTION,1000,30,9/10/2016,10/9/2016,40,High School or Below,male
308,COLLECTION,1000,30,9/10/2016,10/9/2016,33,college,male
312,COLLECTION,1000,30,9/10/2016,10/9/2016,27,High School or Below,male
314,COLLECTION,1000,30,9/10/2016,10/9/2016,24,college,male
316,COLLECTION,1000,30,9/10/2016,10/9/2016,30,High School or Below,male
317,COLLECTION,1000,15,9/10/2016,9/24/2016,29,High School or Below,male
318,COLLECTION,1000,30,9/10/2016,10/9/2016,22,Bachelor,male
319,COLLECTION,1000,15,9/10/2016,9/24/2016,24,Bachelor,male
320,COLLECTION,1000,30,9/10/2016,10/9/2016,25,college,male
321,COLLECTION,1000,30,9/10/2016,10/9/2016,28,High School or Below,male
322,COLLECTION,1000,30,9/10/2016,10/9/2016,37,college,male
323,COLLECTION,800,15,9/10/2016,9/24/2016,32,college,male
324,COLLECTION,1000,15,9/10/2016,9/24/2016,34,college,male
325,COLLECTION,1000,30,9/11/2016,10/10/2016,28,Bachelor,male
326,COLLECTION,800,15,9/11/2016,9/25/2016,35,Bachelor,male
327,COLLECTION,1000,30,9/11/2016,11/9/2016,27,college,male
329,COLLECTION,1000,30,9/11/2016,10/10/2016,44,Bachelor,male
330,COLLECTION,1000,15,9/11/2016,10/25/2016,31,college,male
332,COLLECTION,1000,30,9/11/2016,10/10/2016,21,High School or Below,male
333,COLLECTION,1000,30,9/11/2016,10/10/2016,30,High School or Below,female
334,COLLECTION,1000,30,9/11/2016,10/10/2016,38,college,female
335,COLLECTION,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
336,COLLECTION,1000,30,9/11/2016,10/10/2016,31,college,male
337,COLLECTION,1000,30,9/11/2016,10/10/2016,23,High School or Below,male
338,COLLECTION,1000,15,9/11/2016,9/25/2016,27,college,female
339,COLLECTION,1000,15,9/11/2016,9/25/2016,39,High School or Below,male
340,COLLECTION,1000,30,9/11/2016,10/10/2016,30,High School or Below,female
341,COLLECTION,1000,30,9/11/2016,10/10/2016,25,college,male
342,COLLECTION,1000,15,9/11/2016,9/25/2016,50,Master or Above,male
343,COLLECTION,1000,30,9/11/2016,10/10/2016,23,High School or Below,male
344,COLLECTION,800,15,9/11/2016,9/25/2016,38,Bachelor,male
345,COLLECTION,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
346,COLLECTION,1000,30,9/11/2016,11/9/2016,31,High School or Below,male
347,COLLECTION,800,15,9/11/2016,9/25/2016,40,college,male
350,COLLECTION,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
351,COLLECTION,1000,15,9/11/2016,9/25/2016,25,college,male
352,COLLECTION,1000,30,9/11/2016,10/10/2016,35,High School or Below,male
353,COLLECTION,1000,30,9/11/2016,10/10/2016,41,High School or Below,male
354,COLLECTION,1000,30,9/11/2016,10/10/2016,37,High School or Below,male
355,COLLECTION,1000,15,9/11/2016,10/10/2016,34,college,male
356,COLLECTION,1000,30,9/11/2016,10/10/2016,45,High School or Below,male
357,COLLECTION,1000,30,9/11/2016,10/10/2016,26,Bachelor,male
358,COLLECTION,1000,30,9/11/2016,10/10/2016,32,college,male
359,COLLECTION,1000,30,9/11/2016,10/10/2016,28,High School or Below,male
360,COLLECTION,1000,30,9/11/2016,10/10/2016,34,college,male
361,COLLECTION,800,15,9/11/2016,9/25/2016,29,High School or Below,male
362,COLLECTION,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
363,COLLECTION,1000,15,9/11/2016,9/25/2016,26,college,male
364,COLLECTION,800,15,9/11/2016,9/25/2016,22,college,male
365,COLLECTION,1000,30,9/11/2016,10/10/2016,27,High School or Below,female
366,COLLECTION,800,30,9/11/2016,10/10/2016,33,High School or Below,male
367,COLLECTION,800,15,9/11/2016,9/25/2016,28,Bachelor,male
368,COLLECTION,1000,30,9/11/2016,10/10/2016,24,college,male
371,COLLECTION,1000,30,9/11/2016,10/10/2016,18,college,male
372,COLLECTION,800,15,9/11/2016,9/25/2016,25,High School or Below,male
373,COLLECTION,1000,15,9/11/2016,9/25/2016,40,High School or Below,male
374,COLLECTION,1000,30,9/11/2016,10/10/2016,29,college,male
375,COLLECTION,800,15,9/11/2016,9/25/2016,26,High School or Below,female
376,COLLECTION,1000,15,9/11/2016,9/25/2016,30,college,male
377,COLLECTION,1000,30,9/11/2016,10/10/2016,33,college,male
378,COLLECTION,1000,30,9/11/2016,10/10/2016,30,college,male
379,COLLECTION,1000,30,9/11/2016,10/10/2016,32,college,male
380,COLLECTION,1000,30,9/11/2016,10/10/2016,25,High School or Below,male
381,COLLECTION,800,15,9/11/2016,9/25/2016,35,High School or Below,male
382,COLLECTION,1000,15,9/11/2016,9/25/2016,30,Bachelor,male
383,COLLECTION,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
384,COLLECTION,1000,30,9/11/2016,10/10/2016,29,High School or Below,male
385,COLLECTION,1000,30,9/11/2016,11/9/2016,26,High School or Below,male
386,COLLECTION,800,15,9/11/2016,9/25/2016,46,High School or Below,male
387,COLLECTION,1000,30,9/11/2016,10/10/2016,36,High School or Below,male
388,COLLECTION,1000,15,9/11/2016,9/25/2016,38,Bachelor,male
389,COLLECTION,1000,15,9/11/2016,10/25/2016,32,High School or Below,male
390,COLLECTION,1000,15,9/11/2016,9/25/2016,30,college,male
391,COLLECTION,800,15,9/11/2016,9/25/2016,35,High School or Below,male
392,COLLECTION,1000,30,9/11/2016,10/10/2016,29,college,female
393,COLLECTION,1000,30,9/11/2016,11/9/2016,26,college,male
394,COLLECTION,800,15,9/11/2016,9/25/2016,32,High School or Below,male
395,COLLECTION,1000,30,9/11/2016,10/10/2016,25,High School or Below,male
397,COLLECTION,800,15,9/12/2016,9/26/2016,39,college,male
398,COLLECTION,1000,30,9/12/2016,11/10/2016,28,college,male
399,COLLECTION,1000,30,9/12/2016,10/11/2016,26,college,male
